"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","558","22.5"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (1 TO 19 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (100 TO 199 HEAD)","342","65.1"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (20 TO 49 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (50 TO 99 HEAD)","302","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (500 OR MORE HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","2,284","28.6"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (1 TO 19 HEAD)","2","58.4"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (100 TO 199 HEAD)","3","65.5"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (20 TO 49 HEAD)","3","(H)"
